#TSV runtime	structure	insert_ns	get_ns	scan_ns	mem_b
native	plugmem Arena (Ordered)	65.5	61.5	5.1	42.0
native	plugmem Arena (Uniform)	66.1	59.6	-	42.0
native	sorted Vec (bulk)	18.6	30.7	0.3	16.0
native	std BTreeMap	93.4	83.6	3.5	20.7
native	std HashMap	20.9	12.0	-	22.3
wasmtime	plugmem Arena (Ordered)	92.5	79.3	6.1	42.0
wasmtime	plugmem Arena (Uniform)	93.3	77.8	-	42.0
wasmtime	sorted Vec (bulk)	19.7	36.0	0.6	16.0
wasmtime	std BTreeMap	127.7	91.1	4.3	19.9
wasmtime	std HashMap	27.9	12.9	-	22.3
wasmer	plugmem Arena (Ordered)	82.1	75.9	6.0	42.0
wasmer	plugmem Arena (Uniform)	83.1	76.0	-	42.0
wasmer	sorted Vec (bulk)	20.7	37.2	0.7	16.0
wasmer	std BTreeMap	111.3	95.9	4.3	19.9
wasmer	std HashMap	27.8	13.3	-	22.3
